"code","long_description","medium_description","short_description"
"85461","Hemoglobin or RBCs, fetal, for fetomaternal hemorrhage; rosette","HGB/RBCS FETAL FETOMATERNAL HEMRRG ROSETTE","HEMOGLOBIN FETAL"
"85475","Hemolysin, acid","HEMOLYSIN ACID","HEMOLYSIN"
"85520","Heparin assay","HEPARIN ASSAY","HEPARIN ASSAY"
"85525","Heparin neutralization","HEPARIN NEUTRALIZATION","HEPARIN NEUTRALIZATION"
"85530","Heparin-protamine tolerance test","HEPARIN-PROTAMINE TOLERANCE TST","HEPARIN-PROTAMINE TOLERANCE"
"85536","Iron stain, peripheral blood","IRON STAIN PERIPHERAL BLOOD","IRON STAIN PERIPHERAL BLOOD"
"85540","Leukocyte alkaline phosphatase with count","WBC ALKALINE PHOSPHATASE COUNT","WBC ALKALINE PHOSPHATASE"
"85547","Mechanical fragility, RBC","MECHANICAL FRAGILITY RBC","RBC MECHANICAL FRAGILITY"
"85549","Muramidase","MURAMIDASE","MURAMIDASE"
"85555","Osmotic fragility, RBC; unincubated","OSMOTIC FRAGILITY RBC UNINCUBATED","RBC OSMOTIC FRAGILITY"
"85557","Osmotic fragility, RBC; incubated","OSMOTIC FRAGILITY RBC INCUBATED","RBC OSMOTIC FRAGILITY"
"85576","Platelet, aggregation (in vitro), each agent","PLATELET AGGREGATION IN VITRO EACH AGENT","BLOOD PLATELET AGGREGATION"
"85597","Phospholipid neutralization; platelet","PHOSPHOLIPID NEUTRALIZATION PLATELET","PHOSPHOLIPID PLTLT NEUTRALIZ"
"85598","Phospholipid neutralization; hexagonal phospholipid","PHOSPHOLIPID NEUTRALIZATION HEXAGONAL","HEXAGNAL PHOSPH PLTLT NEUTRL"
"85610","Prothrombin time;","PROTHROMBIN TIME","PROTHROMBIN TIME"
"85611","Prothrombin time; substitution, plasma fractions, each","PROTHROMBIN TIME SUBSTITUTION PLASMA FRCTJ EACH","PROTHROMBIN TEST"
"85612","Russell viper venom time (includes venom); undiluted","RUSSELL VIPER VENON TIME UNDILUTED","VIPER VENOM PROTHROMBIN TIME"
"85613","Russell viper venom time (includes venom); diluted","RUSSELL VIPER VENOM TIME DILUTED","RUSSELL VIPER VENOM DILUTED"
"85635","Reptilase test","REPTILASE TEST","REPTILASE TEST"
"85651","Sedimentation rate, erythrocyte; non-automated","SEDIMENTATION RATE RBC NON-AUTOMATED","RBC SED RATE NONAUTOMATED"
"85652","Sedimentation rate, erythrocyte; automated","SEDIMENTATION RATE RBC AUTOMATED","RBC SED RATE AUTOMATED"
"85660","Sickling of RBC, reduction","SICKLING RBC REDUCTION","RBC SICKLE CELL TEST"
"85670","Thrombin time; plasma","THROMBIN TIME PLASMA","THROMBIN TIME PLASMA"
"85675","Thrombin time; titer","THROMBIN TIME TITER","THROMBIN TIME TITER"
"85705","Thromboplastin inhibition, tissue","THROMBOPLASTIN INHIBITION TISSUE","THROMBOPLASTIN INHIBITION"
"85730","Thromboplastin time, partial (PTT); plasma or whole blood","THROMBOPLASTIN TIME PARTIAL PLASMA/WHOLE BLOOD","THROMBOPLASTIN TIME PARTIAL"
"85732","Thromboplastin time, partial (PTT); substitution, plasma fractions, each","THROMBOPLASTIN TIME PRTL SUBSTIT PLASMA FRCTJ EA","THROMBOPLASTIN TIME PARTIAL"
"85810","Viscosity","VISCOSITY","BLOOD VISCOSITY EXAMINATION"
"85999","Unlisted hematology and coagulation procedure","UNLISTED HEMATOLOGY & COAGULATION PROCEDURE","HEMATOLOGY PROCEDURE"
"86000","Agglutinins, febrile (eg, Brucella, Francisella, Murine typhus, Q fever, Rocky Mountain spotted fever, scrub typhus), each antigen","AGGLUTININS FEBRILE EACH ANTIGEN","AGGLUTININS FEBRILE"
"86001","Allergen specific IgG quantitative or semiquantitative, each allergen","ALLERGEN SPECIFIC IGG QUAN/SEMIQUAN EA ALLERGEN","ALLERGEN SPECIFIC IGG"
"86003","Allergen specific IgE; quantitative or semiquantitative, each allergen","ALLERGEN SPECIFIC IGE QUAN/SEMIQUAN EA ALLERGEN","ALLERGEN SPECIFIC IGE"
"86005","Allergen specific IgE; qualitative, multiallergen screen (dipstick, paddle, or disk)","ALLERGEN SPECIFIC IGE QUAL MULTIALLERGEN SCREEN","ALLERGEN SPECIFIC IGE"
"86021","Antibody identification; leukocyte antibodies","ANTIBODY IDENTIFICATION LEUKOCYTE ANTIBODIES","WBC ANTIBODY IDENTIFICATION"
"86022","Antibody identification; platelet antibodies","ANTIBODY IDENTIFICATION PLATELET ANTIBODIES","PLATELET ANTIBODIES"
"86023","Antibody identification; platelet associated immunoglobulin assay","ANTIBODY IDENTIFICATION PLATELET IMMUNOGL ASSAY","IMMUNOGLOBULIN ASSAY"
"86038","Antinuclear antibodies (ANA);","ANTINUCLEAR ANTIBODIES ANA","ANTINUCLEAR ANTIBODIES"
"86039","Antinuclear antibodies (ANA); titer","ANTINUCLEAR ANTIBODIES ANA TITER","ANTINUCLEAR ANTIBODIES (ANA)"
"86060","Antistreptolysin 0; titer","ANTISTREPTOLYSIN 0 TITER","ANTISTREPTOLYSIN O TITER"
"86063","Antistreptolysin 0; screen","ANTISTREPTOLYSIN 0 SCREEN","ANTISTREPTOLYSIN O SCREEN"
"86077","Blood bank physician services; difficult cross match and/or evaluation of irregular antibody(s), interpretation and written report","BLD BANK PHYS SVCS DIFFC CROSS MATCH&/EVAL REPRT","PHYSICIAN BLOOD BANK SERVICE"
"86078","Blood bank physician services; investigation of transfusion reaction including suspicion of transmissible disease, interpretation and written report","BLD BANK PHYS SVCS INVSTGJ TFUJ RXN REPRT","PHYSICIAN BLOOD BANK SERVICE"
"86079","Blood bank physician services; authorization for deviation from standard blood banking procedures (eg, use of outdated blood, transfusion of Rh incompatible units), with written report","BLD BANK PHYS SVCS AUTHJ DEVIJ STANDARD REPRT","PHYSICIAN BLOOD BANK SERVICE"
"86140","C-reactive protein;","C-REACTIVE PROTEIN","C-REACTIVE PROTEIN"
"86141","C-reactive protein; high sensitivity (hsCRP)","C-REACTIVE PROTEIN HIGH SENSITIVITY","C-REACTIVE PROTEIN HS"
"86146","Beta 2 Glycoprotein I antibody, each","BETA 2 GLYCOPROTEIN I ANTIBODY EACH","GLYCOPROTEIN ANTIBODY"
"86147","Cardiolipin (phospholipid) antibody, each Ig class","CARDIOLIPIN ANTIBODY EACH IG CLASS","CARDIOLIPIN ANTIBODY"
"86148","Anti-phosphatidylserine (phospholipid) antibody","ANTI-PHOSPHATIDYLSERINE ANTIBODY","PHOSPHOLIPID ANTIBODY"
"86155","Chemotaxis assay, specify method","CHEMOTAXIS ASSAY SPECIFY METHOD","CHEMOTAXIS ASSAY"
"86156","Cold agglutinin; screen","COLD AGGLUTININ SCREEN","COLD AGGLUTININ SCREEN"
"86157","Cold agglutinin; titer","COLD AGGLUTININ TITER","COLD AGGLUTININ TITER"
"86160","Complement; antigen, each component","COMPLEMENT ANTIGEN EACH COMPONENT","COMPLEMENT ANTIGEN"
"86161","Complement; functional activity, each component","COMPLEMENT FUNCTIONAL ACTIVITY EACH COMPONENT","COMPLEMENT/FUNCTION ACTIVITY"
"86162","Complement; total hemolytic (CH50)","COMPLEMENT TOTAL HEMOLYTIC","COMPLEMENT TOTAL (CH50)"
"86171","Complement fixation tests, each antigen","COMPLEMENT FIXATION TESTS EACH ANTIGEN","COMPLEMENT FIXATION EACH"
"86185","Counterimmunoelectrophoresis, each antigen","CNTERIMMUNOELECTROPHORESIS EACH ANTIGEN","COUNTERIMMUNOELECTROPHORESIS"
"86200","Cyclic citrullinated peptide (CCP), antibody","CYCLIC CITRULLINATED PEPTIDE ANTIBODY","CCP ANTIBODY"
"86215","Deoxyribonuclease, antibody","DEOXYRIBONUCLEASE ANTIBODY","DEOXYRIBONUCLEASE ANTIBODY"
"86225","Deoxyribonucleic acid (DNA) antibody; native or double stranded","DNA ANTIBODY NATIVE/DOUBLE STRANDED","DNA ANTIBODY"
"86226","Deoxyribonucleic acid (DNA) antibody; single stranded","DNA ANTIBODY SINGLE STRANDED","DNA ANTIBODY SINGLE STRAND"
"86235","Extractable nuclear antigen, antibody to, any method (eg, nRNP, SS-A, SS-B, Sm, RNP, Sc170, J01), each antibody","EXTRACTABLE NUCLEAR ANTIGEN ANTIBODY ANY METHOD","NUCLEAR ANTIGEN ANTIBODY"
"86243","Fc receptor","FC RECEPTOR","FC RECEPTOR"
"86255","Fluorescent noninfectious agent antibody; screen, each antibody","FLUORESCENT NONNFCT AGT ANTB SCREEN EA ANTIBODY","FLUORESCENT ANTIBODY SCREEN"
"86256","Fluorescent noninfectious agent antibody; titer, each antibody","FLUORESCENT NONNFCT AGT ANTB TITER EA ANTIBODY","FLUORESCENT ANTIBODY TITER"
"86277","Growth hormone, human (HGH), antibody","GROWTH HORMONE HUMAN ANTIBODY","GROWTH HORMONE ANTIBODY"
"86280","Hemagglutination inhibition test (HAI)","HEMAGGLUTINATION INHIBITION TEST HAI","HEMAGGLUTINATION INHIBITION"
"86294","Immunoassay for tumor antigen, qualitative or semiquantitative (eg, bladder tumor antigen)","IMMUNOASSAY TUMOR ANTIGEN QUAL/SEMIQUANTITATIVE","IMMUNOASSAY TUMOR QUAL"
"86300","Immunoassay for tumor antigen, quantitative; CA 15-3 (27.29)","IMMUNOASSAY TUMOR ANTIGEN QUANTITATIVE CA 15-3","IMMUNOASSAY TUMOR CA 15-3"
"86301","Immunoassay for tumor antigen, quantitative; CA 19-9","IMMUNOASSAY TUMOR ANTIGEN QUANTITATIVE CA 19-9","IMMUNOASSAY TUMOR CA 19-9"
"86304","Immunoassay for tumor antigen, quantitative; CA 125","IMMUNOASSAY TUMOR ANTIGEN QUANTITATIVE CA 125","IMMUNOASSAY TUMOR CA 125"
"86305","Human epididymis protein 4 (HE4)","HUMAN EPIDIDYMIS PROTEIN 4 (HE4)","HUMAN EPIDIDYMIS PROTEIN 4"
"86308","Heterophile antibodies; screening","HETEROPHILE ANTIBODIES SCREEN","HETEROPHILE ANTIBODIES"
"86309","Heterophile antibodies; titer","HETEROPHILE ANTIBODIES TITER","HETEROPHILE ANTIBODIES"
"86310","Heterophile antibodies; titers after absorption with beef cells and guinea pig kidney","HETEROPHILE ANTIBODIES TITER AFTER ABSORPTION","HETEROPHILE ANTIBODIES"
"86316","Immunoassay for tumor antigen, other antigen, quantitative (eg, CA 50, 72-4, 549), each","IMMUNOASSAY TUMOR ANTIGEN QUANTITATIVE","IMMUNOASSAY TUMOR OTHER"
"86317","Immunoassay for infectious agent antibody, quantitative, not otherwise specified","IMMUNOASSAY INFECTIOUS AGENT ANTIBODY QUAN NOS","IMMUNOASSAY INFECTIOUS AGENT"
"86318","Immunoassay for infectious agent antibody, qualitative or semiquantitative, single step method (eg, reagent strip)","IMMUNOASSAY NFCT AGT ANTB QUAL/SEMIQUAN 1 STEP","IMMUNOASSAY INFECTIOUS AGENT"
"86320","Immunoelectrophoresis; serum","IMMUNOELECTROPHORESIS SERUM","SERUM IMMUNOELECTROPHORESIS"
"86325","Immunoelectrophoresis; other fluids (eg, urine, cerebrospinal fluid) with concentration","IMMUNOELECTROPHORESIS OTHER FLUIDS CONCENTRATION","OTHER IMMUNOELECTROPHORESIS"
"86327","Immunoelectrophoresis; crossed (2-dimensional assay)","IMMUNOELECTROPHORESIS CROSSED","IMMUNOELECTROPHORESIS ASSAY"
"86329","Immunodiffusion; not elsewhere specified","IMMUNODIFFUSION NOT ELSEWHERE SPECIFIED","IMMUNODIFFUSION"
"86331","Immunodiffusion; gel diffusion, qualitative (Ouchterlony), each antigen or antibody","IMMUNODIFFUSION GEL DIFFUSION QUAL EA AG/ANTBDY","IMMUNODIFFUSION OUCHTERLONY"
"86332","Immune complex assay","IMMUNE COMPLEX ASSAY","IMMUNE COMPLEX ASSAY"
"86334","Immunofixation electrophoresis; serum","IMMUNOFIXJ ELECTROPHORESIS SERUM","IMMUNOFIX E-PHORESIS SERUM"
"86335","Immunofixation electrophoresis; other fluids with concentration (eg, urine, CSF)","IMMUNOFIXJ ELECTROPHORESIS OTHER FLUIDS","IMMUNFIX E-PHORSIS/URINE/CSF"
"86336","Inhibin A","INHIBIN A","INHIBIN A"
"86337","Insulin antibodies","INSULIN ANTIBODIES","INSULIN ANTIBODIES"
"86340","Intrinsic factor antibodies","INTRINSIC FACTOR ANTIBODIES","INTRINSIC FACTOR ANTIBODY"
"86341","Islet cell antibody","ISLET CELL ANTIBODY","ISLET CELL ANTIBODY"
"86343","Leukocyte histamine release test (LHR)","LEUKOCYTE HISTAMINE RELEASE TEST LHR","LEUKOCYTE HISTAMINE RELEASE"
"86344","Leukocyte phagocytosis","LEUKOCYTE PHAGOCYTOSIS","LEUKOCYTE PHAGOCYTOSIS"
"86352","Cellular function assay involving stimulation (eg, mitogen or antigen) and detection of biomarker (eg, ATP)","CELLULAR FUNCTION ASSAY STIMUL&DETECT BIOMARKER","CELL FUNCTION ASSAY W/STIM"
"86353","Lymphocyte transformation, mitogen (phytomitogen) or antigen induced blastogenesis","LYMPHOCYTE TR MITOGEN/AG INDUCED BLASTOGENESIS","LYMPHOCYTE TRANSFORMATION"
"86355","B cells, total count","B CELLS TOTAL COUNT","B CELLS TOTAL COUNT"
"86356","Mononuclear cell antigen, quantitative (eg, flow cytometry), not otherwise specified, each antigen","MONONUCLEAR CELL ANTIGEN QUANTITATIVE NOS EA","MONONUCLEAR CELL ANTIGEN"
"86357","Natural killer (NK) cells, total count","NATURAL KILLER CELLS TOTAL COUNT","NK CELLS TOTAL COUNT"
"86359","T cells; total count","T CELLS TOTAL COUNT","T CELLS TOTAL COUNT"
"86360","T cells; absolute CD4 and CD8 count, including ratio","T CELLS ABSOLUTE CD4&CD8 COUNT RATIO","T CELL ABSOLUTE COUNT/RATIO"
"86361","T cells; absolute CD4 count","T CELLS ABSOLUTE CD4 COUNT","T CELL ABSOLUTE COUNT"
"86367","Stem cells (ie, CD34), total count","STEM CELLS TOTAL COUNT","STEM CELLS TOTAL COUNT"
"86376","Microsomal antibodies (eg, thyroid or liver-kidney), each","MICROSOMAL ANTIBODIES EACH","MICROSOMAL ANTIBODY"
"86378","Migration inhibitory factor test (MIF)","MIGRATION INHIBITORY FACTOR TEST MIF","MIGRATION INHIBITORY FACTOR"
"86382","Neutralization test, viral","NEUTRALIZATION TEST VIRAL","NEUTRALIZATION TEST VIRAL"
"86384","Nitroblue tetrazolium dye test (NTD)","NITROBLUE TETRAZOLIUM DYE TEST NTD","NITROBLUE TETRAZOLIUM DYE"
"86386","Nuclear Matrix Protein 22 (NMP22), qualitative","NUCLEAR MATRIX PROTEIN 22 NMP22 QUALITATIVE","NUCLEAR MATRIX PROTEIN 22"
"86403","Particle agglutination; screen, each antibody","PARTICLE AGGLUTINATION SCREEN EACH ANTIBODY","PARTICLE AGGLUTINATION TEST"
"86406","Particle agglutination; titer, each antibody","PARTICLE AGGLUTINATION TITER EACH ANTIBODY","PARTICLE AGGLUTINATION TEST"
"86430","Rheumatoid factor; qualitative","RHEUMATOID FACTOR QUALITATIVE","RHEUMATOID FACTOR TEST"
"86431","Rheumatoid factor; quantitative","RHEUMATOID FACTOR QUANTITATIVE","RHEUMATOID FACTOR QUANT"
"86480","Tuberculosis test, cell mediated immunity antigen response measurement; gamma interferon","TB CELL MEDIATED ANTIGN RESPNSE GAMMA INTERFERON","TB TEST CELL IMMUN MEASURE"
"86481","Tuberculosis test, cell mediated immunity antigen response measurement; enumeration of gamma interferon-producing T-cells in cell suspension","TB ANTIGEN RESPONSE GAMMA INTERFERON T-CELL SUSP","TB AG RESPONSE T-CELL SUSP"
"86485","Skin test; candida","SKIN TEST CANDIDA","SKIN TEST CANDIDA"
"86486","Skin test; unlisted antigen, each","SKIN TEST UNLISTED ANTIGEN EACH","SKIN TEST NOS ANTIGEN"
"86490","Skin test; coccidioidomycosis","SKIN TEST COCCIDIOIDOMYCOSIS","COCCIDIOIDOMYCOSIS SKIN TEST"
"86510","Skin test; histoplasmosis","SKIN TEST HISTOPLASMOSIS","HISTOPLASMOSIS SKIN TEST"
"86580","Skin test; tuberculosis, intradermal","SKIN TEST TUBERCULOSIS INTRADERMAL","TB INTRADERMAL TEST"
"86590","Streptokinase, antibody","STREPTOKINASE ANTIBODY","STREPTOKINASE ANTIBODY"
"86592","Syphilis test, non-treponemal antibody; qualitative (eg, VDRL, RPR, ART)","SYPHILIS TEST NON TREPONEMAL ANTIBODY QUAL","SYPHILIS TEST NON-TREP QUAL"
"86593","Syphilis test, non-treponemal antibody; quantitative","SYPHILIS TEST QUANTITATIVE","SYPHILIS TEST NON-TREP QUANT"
"86602","Antibody; actinomyces","ANTIBODY ACTINOMYCES","ANTINOMYCES ANTIBODY"
"86603","Antibody; adenovirus","ANTIBODY ADENOVIRUS","ADENOVIRUS ANTIBODY"
"86606","Antibody; Aspergillus","ANTIBODY ASPERGILLUS","ASPERGILLUS ANTIBODY"
"86609","Antibody; bacterium, not elsewhere specified","ANTIBODY BACTERIUM NOT ELSEWHERE SPECIFIED","BACTERIUM ANTIBODY"
"86611","Antibody; Bartonella","ANTIBODY BARTONELLA","BARTONELLA ANTIBODY"
"86612","Antibody; Blastomyces","ANTIBODY BLASTOMYCES","BLASTOMYCES ANTIBODY"
"86615","Antibody; Bordetella","ANTIBODY BORDETELLA","BORDETELLA ANTIBODY"
"86617","Antibody; Borrelia burgdorferi (Lyme disease) confirmatory test (eg, Western Blot or immunoblot)","ANTIBODY BORRELIA BURGDORFERI CONFIRMATORY TST","LYME DISEASE ANTIBODY"
"86618","Antibody; Borrelia burgdorferi (Lyme disease)","ANTIBODY BORRELIA BURGDORFERI LYME DISEASE","LYME DISEASE ANTIBODY"
"86619","Antibody; Borrelia (relapsing fever)","ANTIBODY BORRELIA RELAPSING FEVER","BORRELIA ANTIBODY"
"86622","Antibody; Brucella","ANTIBODY BRUCELLA","BRUCELLA ANTIBODY"
"86625","Antibody; Campylobacter","ANTIBODY CAMPYLOBACTER","CAMPYLOBACTER ANTIBODY"
"86628","Antibody; Candida","ANTIBODY CANDIDA","CANDIDA ANTIBODY"
"86631","Antibody; Chlamydia","ANTIBODY CHLAMYDIA","CHLAMYDIA ANTIBODY"
"86632","Antibody; Chlamydia, IgM","ANTIBODY CHLAMYDIA IGM","CHLAMYDIA IGM ANTIBODY"
"86635","Antibody; Coccidioides","ANTIBODY COCCIDIOIDES","COCCIDIOIDES ANTIBODY"
"86638","Antibody; Coxiella burnetii (Q fever)","ANTIBODY COXIELLA BURNETII Q FEVER","Q FEVER ANTIBODY"
"86641","Antibody; Cryptococcus","ANTIBODY CRYPTOCOCCUS","CRYPTOCOCCUS ANTIBODY"
"86644","Antibody; cytomegalovirus (CMV)","ANTIBODY CYTOMEGALOVIRUS CMV","CMV ANTIBODY"
"86645","Antibody; cytomegalovirus (CMV), IgM","ANTIBODY CYTOMEGALOVIRUS CMV IGM","CMV ANTIBODY IGM"
"86648","Antibody; Diphtheria","ANTIBODY DIPHTHERIA","DIPHTHERIA ANTIBODY"
"86651","Antibody; encephalitis, California (La Crosse)","ANTIBODY ENCEPHALITIS CALIFORNIA LA CROSSE","ENCEPHALITIS ANTIBODY"
"86652","Antibody; encephalitis, Eastern equine","ANTIBODY ENCEPHALITIS EASTERN EQUINE","ENCEPHALITIS ANTIBODY"
"86653","Antibody; encephalitis, St. Louis","ANTIBODY ENCEPHALITIS ST. LOUIS","ENCEPHALITIS ANTIBODY"
"86654","Antibody; encephalitis, Western equine","ANTIBODY ENCEPHALITIS WESTRN EQUINE","ENCEPHALITIS ANTIBODY"
"86658","Antibody; enterovirus (eg, coxsackie, echo, polio)","ANTIBODY ENTEROVIRUS","ENTEROVIRUS ANTIBODY"
"86663","Antibody; Epstein-Barr (EB) virus, early antigen (EA)","ANTIBODY EPSTEIN-BARR EB VIRUS EARLY ANTIGEN EA","EPSTEIN-BARR ANTIBODY"
"86664","Antibody; Epstein-Barr (EB) virus, nuclear antigen (EBNA)","ANTIBODY EPSTEIN-BARR EB VIRUS NUCLEAR AG EBNA","EPSTEIN-BARR ANTIBODY"
"86665","Antibody; Epstein-Barr (EB) virus, viral capsid (VCA)","ANTIBODY EPSTEIN-BARR EB VIRUS VIRAL CAPSID VCA","EPSTEIN-BARR ANTIBODY"
"86666","Antibody; Ehrlichia","ANTIBODY EHRLICHIA","EHRLICHIA ANTIBODY"
"86668","Antibody; Francisella tularensis","ANTIBODY FRANCISELLA TULARENSIS","FRANCISELLA TULARENSIS"
"86671","Antibody; fungus, not elsewhere specified","ANTIBODY FUNGUS NOT ELSEWHERE SPECIFIED","FUNGUS ANTIBODY"
"86674","Antibody; Giardia lamblia","ANTIBODY GIARDIA LAMBLIA","GIARDIA LAMBLIA ANTIBODY"
"86677","Antibody; Helicobacter pylori","ANTIBODY HELICOBACTER PYLORI","HELICOBACTER PYLORI"
"86682","Antibody; helminth, not elsewhere specified","ANTIBODY HELMINTH NOT ELSEWHERE SPECIFIED","HELMINTH ANTIBODY"
"86684","Antibody; Haemophilus influenza","ANTIBODY HAEMOPHILUS INFLUENZA","HEMOPHILUS INFLUENZA"
"86687","Antibody; HTLV-I","ANTIBODY HTLV-I","HTLV-I ANTIBODY"
"86688","Antibody; HTLV-II","ANTIBODY HTLV-II","HTLV-II ANTIBODY"
"86689","Antibody; HTLV or HIV antibody, confirmatory test (eg, Western Blot)","ANTIBODY HTLV/HIV ANTIBODY CONFIRMATORY TEST","HTLV/HIV CONFIRMATORY TEST"
"86692","Antibody; hepatitis, delta agent","ANTIBODY HEP DELTA AGENT","HEPATITIS DELTA AGENT"
"86694","Antibody; herpes simplex, non-specific type test","ANTIBODY HERPES SMPLX NON-SPECIFIC TYPE TEST","HERPES SIMPLEX TEST"
"86695","Antibody; herpes simplex, type 1","ANTIBODY HERPES SMPLX TYPE 1","HERPES SIMPLEX TEST"
"86696","Antibody; herpes simplex, type 2","ANTIBODY HERPES SMPLX TYPE 2","HERPES SIMPLEX TYPE 2"
"86698","Antibody; histoplasma","ANTIBODY HISTOPLASMA","HISTOPLASMA"
"86701","Antibody; HIV-1","ANTIBODY HIV-1","HIV-1"
"86702","Antibody; HIV-2","ANTIBODY HIV-2","HIV-2"
"86703","Antibody; HIV-1 and HIV-2, single result","ANTIBODY HIV-1&HIV-2 SINGLE RESULT","HIV-1/HIV-2 SINGLE RESULT"
"86704","Hepatitis B core antibody (HBcAb); total","HEPATITIS B CORE ANTIBODY HBCAB TOTAL","HEP B CORE ANTIBODY TOTAL"
"86705","Hepatitis B core antibody (HBcAb); IgM antibody","HEPATITIS B CORE ANTIBODY HBCAB IGM ANTIBODY","HEP B CORE ANTIBODY IGM"
"86706","Hepatitis B surface antibody (HBsAb)","HEPATITIS B SURF ANTIBODY HBSAB","HEP B SURFACE ANTIBODY"
"86707","Hepatitis Be antibody (HBeAb)","HEPATITIS BE ANTIBODY HBEAB","HEP BE ANTIBODY"
"86708","Hepatitis A antibody (HAAb); total","HEPATITIS ANTIBODY HAAB TOTAL","HEP A ANTIBODY TOTAL"
"86709","Hepatitis A antibody (HAAb); IgM antibody","HEPATITIS ANTIBODY HAAB IGM ANTIBODY","HEP A ANTIBODY IGM"
"86710","Antibody; influenza virus","ANTIBODY INF VIRUS","INFLUENZA VIRUS ANTIBODY"
"86713","Antibody; Legionella","ANTIBODY LEGIONELLA","LEGIONELLA ANTIBODY"
"86717","Antibody; Leishmania","ANTIBODY LEISHMANIA","LEISHMANIA ANTIBODY"
"86720","Antibody; Leptospira","ANTIBODY LEPTOSPIRA","LEPTOSPIRA ANTIBODY"
"86723","Antibody; Listeria monocytogenes","ANTIBODY LISTERIA MONOCYTOGENES","LISTERIA MONOCYTOGENES AB"
"86727","Antibody; lymphocytic choriomeningitis","ANTIBODY LYMPHOCYTIC CHORIOMENINGITIS","LYMPH CHORIOMENINGITIS AB"
"86729","Antibody; lymphogranuloma venereum","ANTIBODY LYMPHOGRANULOMA VENEREUM","LYMPHO VENEREUM ANTIBODY"
"86732","Antibody; mucormycosis","ANTIBODY MUCORMYCOSIS","MUCORMYCOSIS ANTIBODY"
"86735","Antibody; mumps","ANTIBODY MUMPS","MUMPS ANTIBODY"
"86738","Antibody; mycoplasma","ANTIBODY MYCOPLSM","MYCOPLASMA ANTIBODY"
"86741","Antibody; Neisseria meningitidis","ANTIBODY NEISSERIA MENINGITIDIS","NEISSERIA MENINGITIDIS"
"86744","Antibody; Nocardia","ANTIBODY NOCARDIA","NOCARDIA ANTIBODY"
"86747","Antibody; parvovirus","ANTIBODY PARVOVIRUS","PARVOVIRUS ANTIBODY"
"86750","Antibody; Plasmodium (malaria)","ANTIBODY PLASMODIUM MALARIA","MALARIA ANTIBODY"
"86753","Antibody; protozoa, not elsewhere specified","ANTIBODY PROTOZOA NES","PROTOZOA ANTIBODY NOS"
"86756","Antibody; respiratory syncytial virus","ANTIBODY RESPIRATORY SYNCTIAL VIRUS","RESPIRATORY VIRUS ANTIBODY"
"86757","Antibody; Rickettsia","ANTIBODY RICKETTSIA","RICKETTSIA ANTIBODY"
"86759","Antibody; rotavirus","ANTIBODY ROTAVIRUS","ROTAVIRUS ANTIBODY"
"86762","Antibody; rubella","ANTIBODY RUBELLA","RUBELLA ANTIBODY"
"86765","Antibody; rubeola","ANTIBODY RUBEOLA","RUBEOLA ANTIBODY"
"86768","Antibody; Salmonella","ANTIBODY SALMONELLA","SALMONELLA ANTIBODY"
